observation_id,species_name,common_name,date_observed,location,image_url,notes,observed_count
273544216,Brahminy Starling,Brahminy Starling,2025-04-26,"33.730358,73.055001",https://inaturalist-open-data.s3.amazonaws.com/photos/491964811/square.jpeg,,6
273543816,"Camel Crickets, Cave Crickets, and Cave Wēta","Camel Crickets, Cave Crickets, and Cave Wēta",2025-04-26,"33.7317103997,73.0545563997",https://inaturalist-open-data.s3.amazonaws.com/photos/491964069/square.jpeg,,1
273543123,beefsteak plant,beefsteak plant,2025-04-26,"33.7314229722,73.056021",https://inaturalist-open-data.s3.amazonaws.com/photos/491963071/square.jpeg,,2
273541858,pomegranate,pomegranate,2025-04-26,"33.7314282,73.0560205997",https://inaturalist-open-data.s3.amazonaws.com/photos/491961261/square.jpeg,,2
273541660,Indian Crested Porcupine,Indian Crested Porcupine,2025-04-26,"33.731554,73.056076",https://inaturalist-open-data.s3.amazonaws.com/photos/491961017/square.jpeg,,10
273541390,Northern Red Muntjac,Northern Red Muntjac,2025-04-26,"33.7315609722,73.0560739722",https://inaturalist-open-data.s3.amazonaws.com/photos/491960670/square.jpeg,,8
273540799,Watercresses,Watercresses,2025-04-26,"33.7315986997,73.0560511",https://inaturalist-open-data.s3.amazonaws.com/photos/491959964/square.jpeg,,2
273530431,Brahminy Starling,Brahminy Starling,2025-04-26,"33.730364,73.055068",https://inaturalist-open-data.s3.amazonaws.com/photos/491943273/square.jpeg,,6
273518589,Yellow-throated Sparrow,Yellow-throated Sparrow,2025-04-26,"33.7316952997,73.0546772",https://inaturalist-open-data.s3.amazonaws.com/photos/491924544/square.jpeg,,1
272940526,Cornelian,Cornelian,2025-04-25,"33.7294492543,73.0358685181",https://static.inaturalist.org/photos/491027684/square.jpeg,,5
272889870,Short-horned Grasshoppers,Short-horned Grasshoppers,2025-04-25,"33.7801108399,73.1188916844",https://static.inaturalist.org/photos/490952367/square.jpeg,,4
